residue,max_run_1s,max_run_0s,hamming_weight,alternations,trailing_ones,tz_3n1,mod3,mod9,mod27,entropy,avg_odd_mult,count,avg_stopping_time,avg_v2,avg_peak
503,5,1,8,3,3,1,2,8,17,0.721928,0.99295,48828,130.035,1,8.64252e+008
505,6,2,7,3,1,2,1,1,19,0.881291,0.965526,48828,122.196,2,1.49638e+008
507,6,1,8,3,2,1,0,3,21,0.721928,0.975723,48828,122.499,1,1.44135e+008
509,7,1,8,3,1,3,2,5,23,0.721928,0.997872,48828,130.309,3,3.39425e+008
511,9,1,9,1,9,1,1,7,25,0.468996,1.03049,48828,145.585,1,5.011e+009
513,1,8,2,2,1,2,0,0,0,0.721928,0.961358,48828,122.625,2,1.56219e+008
515,2,7,3,2,2,1,2,2,2,0.881291,0.932415,48828,107.246,1,8.01177e+007
517,1,6,3,4,1,4,1,4,4,0.881291,0.950291,48828,114.994,4,9.47515e+007
519,3,6,4,2,3,1,0,6,6,0.970951,0.967985,48828,122.439,1,2.44065e+008
521,1,5,3,4,1,2,2,8,8,0.881291,0.959898,48828,115.013,2,9.93084e+007
523,2,5,4,4,2,1,1,1,10,0.970951,0.9463,48828,114.994,1,9.47515e+007
525,2,5,4,4,1,3,0,3,12,0.970951,0.898965,48828,99.6935,3,7.61751e+007
527,4,5,5,2,4,1,2,5,14,1,0.991783,48828,122.635,1,1.62765e+008
529,1,4,3,4,1,2,1,7,16,0.881291,0.909437,48828,99.6935,2,7.61751e+007
531,2,4,4,4,2,1,0,0,18,0.970951,0.968322,48828,122.456,1,1.56787e+008
533,1,4,4,6,1,6,2,2,20,0.970951,0.946429,48828,107.313,6,7.94321e+007
535,3,4,5,4,3,1,1,4,22,1,0.963881,48828,114.844,1,1.06492e+008
537,2,4,4,4,1,2,0,6,24,0.970951,0.954429,48828,114.844,2,1.06492e+008
539,2,4,5,4,2,1,2,8,26,1,1.00012,48828,130.103,1,7.59676e+008
541,3,4,5,4,1,3,1,1,1,1,0.933778,48828,107.29,3,8.03199e+007
543,5,4,6,2,5,1,0,3,3,0.970951,0.991208,48828,130.173,1,2.69936e+009
545,1,4,3,4,1,2,2,5,5,0.881291,0.943673,48828,114.975,2,9.63212e+007
547,2,3,4,4,2,1,1,7,7,0.970951,0.938586,48828,107.313,1,7.94321e+007
549,1,3,4,6,1,4,0,0,9,0.970951,0.979201,48828,122.425,4,1.45084e+008
551,3,3,5,4,3,1,2,2,11,1,0.974504,48828,114.695,1,9.387e+007
553,1,3,4,6,1,2,1,4,13,0.970951,1.00817,48828,137.808,2,8.35452e+008
555,2,3,5,6,2,1,0,6,15,1,0.941754,48828,107.313,1,7.94321e+007
557,2,3,5,6,1,3,2,8,17,1,0.946279,48828,115.066,3,9.69322e+007
559,4,3,6,4,4,1,1,1,19,0.970951,1.00807,48828,137.885,1,1.036e+009
